カテゴリ,ファイル名,主要機能,備考
データ確認・検証ツール,check_cf_values.py,CF値確認,CF計算値
データ確認・検証ツール,check_correct_code.py,正確なコード確認,コード整合性
データ確認・検証ツール,check_csv_data_category.py,CSVデータカテゴリ確認,データ分類確認
データ確認・検証ツール,check_db.py,データベース確認,DB状態チェック
データ確認・検証ツール,check_debt_ratio.py,負債比率確認,安全性指標
データ確認・検証ツール,check_efficiency_indicators.py,効率性指標確認,効率性評価
データ確認・検証ツール,check_indicators_json.py,指標JSON構造確認,計算結果構造
データ確認・検証ツール,check_ja004_efficiency.py,JA004効率性指標確認,特定JA効率性
データ確認・検証ツール,check_liquidity_balances.py,流動性指標残高確認,流動性関連データ
データ確認・検証ツール,check_mappings.py,マッピング状況確認,マッピング調査
データ確認・検証ツール,check_net_income.py,当期利益確認,収益性計算要素
データ確認・検証ツール,check_parent_child_structure.py,親子関係構造確認,階層構造診断
データ確認・検証ツール,check_pl.py,PLデータ確認,損益計算書
データ確認・検証ツール,check_pl_balances.py,PL残高確認,PL残高値
データ確認・検証ツール,check_pl_data.py,PLデータ詳細確認,PL全般チェック
データ確認・検証ツール,check_pl_mappings.py,PLマッピング確認,PL科目マッピング
データ確認・検証ツール,check_pl_mappings_correct.py,PL正確マッピング確認,PL精度チェック
データ確認・検証ツール,check_pl_net_income.py,PL当期純利益確認,PL利益科目
データ確認・検証ツール,check_pl_parents.py,PL親勘定科目確認,PL階層構造
データ確認・検証ツール,check_risk_scores.py,リスクスコア確認,リスク評価値
データ確認・検証ツール,check_safety_accounts_ui.py,安全性指標UI確認,UI表示検証
データ確認・検証ツール,check_safety_data.py,安全性データ確認,安全性指標データ
データ確認・検証ツール,check_safety_indicator_data.py,安全性指標データ詳細,安全性計算要素
データ確認・検証ツール,check_standard_accounts.py,標準勘定科目確認,標準科目チェック
データ確認・検証ツール,check_total_accounts.py,合計勘定科目確認,合計科目チェック
デバッグ・トラブルシューティング,debug_csv_values.py,CSV値デバッグ,CSV内容確認
デバッグ・トラブルシューティング,debug_direct_mapping.py,直接マッピングデバッグ,マッピング処理確認
デバッグ・トラブルシューティング,debug_exact_match.py,完全一致デバッグ,一致処理確認
デバッグ・トラブルシューティング,debug_import.py,インポートデバッグ,データ取込確認
デバッグ・トラブルシューティング,debug_mapping.py,マッピングデバッグ,マッピング全般
デバッグ・トラブルシューティング,debug_safety_indicators.py,安全性指標デバッグ,安全性計算確認
デバッグ・トラブルシューティング,debug_utils.py,デバッグユーティリティ,共通デバッグ機能
データ修正・メンテナンス,fix_account_parent_codes.py,勘定科目親コード修正,階層構造修正
データ修正・メンテナンス,fix_account_totals.py,勘定科目合計修正,合計値修正
データ修正・メンテナンス,fix_accounts_display.py,勘定科目表示修正,表示制御修正
データ修正・メンテナンス,fix_ai_mapping.py,AIマッピング修正,AI処理修正
データ修正・メンテナンス,fix_all_liquidity_displays.py,流動性表示修正,流動性UI修正
データ修正・メンテナンス,fix_analysis_results.py,分析結果修正,計算結果修正
データ修正・メンテナンス,fix_available_data.py,利用可能データ修正,データ可用性修正
データ修正・メンテナンス,fix_balance_data.py,残高データ修正,残高値修正
データ修正・メンテナンス,fix_bs_parent_codes.py,BS親コード修正,BS階層修正
データ修正・メンテナンス,fix_cash_deposits_total.py,現金預金合計修正,流動資産修正
データ修正・メンテナンス,fix_cf_operating.py,CF営業活動修正,CF計算修正
データ修正・メンテナンス,fix_cf_totals.py,CF合計修正,CF総計修正
データ修正・メンテナンス,fix_cf_triangle_minus.py,CF三角マイナス修正,CF表示修正
データ修正・メンテナンス,fix_chart_labels.py,チャートラベル修正,表示文字修正
データ修正・メンテナンス,fix_current_assets_code.py,流動資産コード修正,科目コード修正
データ修正・メンテナンス,delete_and_recalculate.py,削除・再計算処理,データリセット
機能追加・データ作成,ensure_ja006.py,JA006データ保証,特定JAデータ確認
機能追加・データ作成,ensure_ja_exists.py,JA存在保証,JA登録確認
機能追加・データ作成,demo_data_setup.py,デモデータ設定,初期データ作成
直接修正・最適化,direct_fix_ai_endpoints.py,AI APIエンドポイント直接修正,API修正
直接修正・最適化,direct_fix_efficiency.py,効率性指標直接修正,効率性計算修正
直接修正・最適化,direct_fix_indicators.py,指標直接修正,指標計算修正
直接修正・最適化,direct_fix_pl_balances.py,PL残高直接修正,PL値修正
直接修正・最適化,direct_import_bs.py,BS直接インポート,BSデータ取込
直接修正・最適化,direct_import_pl_cf.py,PL・CF直接インポート,PL・CFデータ取込
テストデータ作成,create_minimal_test_data.py,最小限テストデータ作成,テスト用最小データ
テストデータ作成,create_reference_mapping_test_data.py,参照マッピングテストデータ,マッピング機能テスト
テストデータ作成,create_simple_test_data.py,簡易テストデータ作成,基本テストデータ
テストデータ作成,create_simple_test_data_fixed.py,修正版簡易テストデータ,修正済みテストデータ
テストデータ作成,create_test_data_final.py,最終版テストデータ,完成版テストデータ
テストデータ作成,create_test_data_schema_correct.py,スキーマ正確テストデータ,DB構造準拠テストデータ
